Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
85068-58904,G,Aaron,Aaron Dell,Dell,10.399999618530273,2,6500,MIN@SJ,SJ,MIN,,,,,,G
85068-154165,G,Leevi,Leevi Merilainen,Merilainen,,,6500,WSH@OTT,OTT,WSH,,,,,,G
85068-169533,G,Strauss,Strauss Mann,Mann,,,6500,MIN@SJ,SJ,MIN,,,,,,G
85068-8781,G,Cory,Cory Schneider,Schneider,21.600000381469727,1,6500,NYI@NYR,NYI,NYR,,,,,,G
85068-148097,W,Matt,Matt Boldy,Boldy,13.118749618530273,32,6500,MIN@SJ,MIN,SJ,,,,,,W/UTIL
85068-54028,G,Pheonix,Pheonix Copley,Copley,20.8000005086263,6,6500,CGY@LA,LA,CGY,,,,,,G
85068-42782,G,Oscar,Oscar Dansk,Dansk,,,6500,CGY@LA,CGY,LA,,,,,,G
85068-42800,G,Zach,Zach Fucale,Fucale,12.199999809265137,4,6500,WSH@OTT,WSH,OTT,,,,,,G
85068-103263,G,Joey,Joey Daccord,Daccord,6.199999809265137,4,6500,SEA@VAN,SEA,VAN,,,,,,G
85068-42852,G,Francois,Francois Brassard,Brassard,,,6500,WPG@BOS,BOS,WPG,,,,,,G
85068-42853,G,Chris,Chris Driedger,Driedger,12.71111156322338,27,6500,SEA@VAN,SEA,VAN,IR,Knee,,,,G
85068-14183,G,Keith,Keith Kinkaid,Kinkaid,32,1,6500,WPG@BOS,BOS,WPG,,,,,,G
85068-97135,G,Kevin,Kevin Mandolese,Mandolese,0,1,6500,WSH@OTT,OTT,WSH,,,,,,G
85068-97161,G,Jacob,Jacob Ingham,Ingham,,,6500,CGY@LA,LA,CGY,IR,Back,,,,G
85068-157597,G,Filip,Filip Lindberg,Lindberg,,,6500,CAR@PIT,PIT,CAR,,,,,,G
85068-15269,W,Rickard,Rickard Rakell,Rakell,13.234375,32,6500,CAR@PIT,PIT,CAR,,,,,,W/UTIL
85068-97204,G,Zachary,Zachary Emond,Emond,,,6500,MIN@SJ,SJ,MIN,,,,,,G
85068-97231,G,Jakub,Jakub Skarek,Skarek,,,6500,NYI@NYR,NYI,NYR,,,,,,G
85068-66685,C,Mathew,Mathew Barzal,Barzal,12.769696784741951,33,6400,NYI@NYR,NYI,NYR,,,,,,C/UTIL
85068-42833,W,Andre,Andre Burakovsky,Burakovsky,12.961289928805444,31,6400,SEA@VAN,SEA,VAN,,,,,,W/UTIL
85068-62429,W,Adrian,Adrian Kempe,Kempe,11.454285539899553,35,6400,CGY@LA,LA,CGY,,,,,,W/UTIL
85068-66688,D,Rasmus,Rasmus Andersson,Andersson,11.772727272727273,33,6300,CGY@LA,CGY,LA,,,,,,D/UTIL
85068-39238,W,Anders,Anders Lee,Lee,12.727272727272727,33,6300,NYI@NYR,NYI,NYR,,,,,,W/UTIL
85068-66709,W,Jared,Jared McCann,McCann,11.889285496303014,28,6200,SEA@VAN,SEA,VAN,,,,,,W/UTIL
85068-169115,C,Matty,Matty Beniers,Beniers,11.925806845388104,31,6200,SEA@VAN,SEA,VAN,,,,,,C/UTIL
85068-39464,D,Hampus,Hampus Lindholm,Lindholm,11.741935483870968,31,6200,WPG@BOS,BOS,WPG,,,,,,D/UTIL
85068-8182,W,Blake,Blake Wheeler,Wheeler,12.948275862068966,29,6200,WPG@BOS,WPG,BOS,IR,Groin,,,,W/UTIL
85068-39245,D,Jacob,Jacob Trouba,Trouba,11.364705702837776,34,6100,NYI@NYR,NYR,NYI,,,,,,D/UTIL
85068-59207,W,Viktor,Viktor Arvidsson,Arvidsson,11.851612706338205,31,6100,CGY@LA,LA,CGY,,,,,,W/UTIL
85068-8176,C,David,David Krejci,Krejci,11.977777551721644,27,6100,WPG@BOS,BOS,WPG,,,,,,C/UTIL
85068-54477,W,Bryan,Bryan Rust,Rust,11.240625381469727,32,6000,CAR@PIT,PIT,CAR,,,,,,W/UTIL
85068-8441,W,Max,Max Pacioretty,Pacioretty,16.625641651642628,39,6000,CAR@PIT,CAR,PIT,IR,Achilles,,,,W/UTIL
85068-12812,D,Jared,Jared Spurgeon,Spurgeon,10.018750190734863,32,6000,MIN@SJ,MIN,SJ,,,,,,D/UTIL
85068-9025,W,Jordan,Jordan Eberle,Eberle,11.55483910345262,31,6000,SEA@VAN,SEA,VAN,,,,,,W/UTIL
85068-21686,W,Jason,Jason Zucker,Zucker,10.9172415897764,29,5900,CAR@PIT,PIT,CAR,,,,,,W/UTIL
85068-8406,D,Drew,Drew Doughty,Doughty,10.358823888442096,34,5900,CGY@LA,LA,CGY,,,,,,D/UTIL
85068-8478,W,Zach,Zach Parise,Parise,10.606060606060606,33,5900,NYI@NYR,NYI,NYR,,,,,,W/UTIL
85068-8608,D,Kris,Kris Letang,Letang,10.477777551721644,27,5900,CAR@PIT,PIT,CAR,,,,,,D/UTIL
85068-135668,W,Alexander,Alexander Barabanov,Barabanov,10.52758578596444,29,5900,MIN@SJ,SJ,MIN,,,,,,W/UTIL
85068-15277,C,Phillip,Phillip Danault,Danault,10.868571254185268,35,5900,CGY@LA,LA,CGY,,,,,,C/UTIL
85068-13472,D,Dmitry,Dmitry Orlov,Orlov,10.605555216471354,18,5800,WSH@OTT,WSH,OTT,,,,,,D/UTIL
85068-74112,W,Trevor,Trevor Moore,Moore,11,35,5800,CGY@LA,LA,CGY,,,,,,W/UTIL
85068-58907,W,Nikolaj,Nikolaj Ehlers,Ehlers,18.649999618530273,2,5800,WPG@BOS,WPG,BOS,IR,Abdomen,,,,W/UTIL
85068-64101,D,Noah,Noah Hanifin,Hanifin,10.884374618530273,32,5800,CGY@LA,CGY,LA,,,,,,D/UTIL
85068-9189,C,Mikael,Mikael Backlund,Backlund,10.187879157788826,33,5800,CGY@LA,CGY,LA,,,,,,C/UTIL
85068-82114,C,Adam,Adam Ruzicka,Ruzicka,9.770833333333334,24,5700,CGY@LA,CGY,LA,,,,,,C/UTIL
85068-15217,W,Jonathan,Jonathan Huberdeau,Huberdeau,10.059999593098958,30,5700,CGY@LA,CGY,LA,,,,,,W/UTIL
85068-97173,D,Sean,Sean Durzi,Durzi,10.590624809265137,32,5700,CGY@LA,LA,CGY,,,,,,D/UTIL
85068-82024,W,Gabriel,Gabriel Vilardi,Vilardi,10.21470552332261,34,5600,CGY@LA,LA,CGY,,,,,,W/UTIL
85068-66675,W,Daniel,Daniel Sprong,Sprong,10.187999877929688,25,5600,SEA@VAN,SEA,VAN,,,,,,W/UTIL
85068-65969,C,Dylan,Dylan Strome,Strome,10.138235653147978,34,5600,WSH@OTT,WSH,OTT,,,,,,C/UTIL
85068-62294,D,Brady,Brady Skjei,Skjei,9.128125190734863,32,5600,CAR@PIT,CAR,PIT,,,,,,D/UTIL
85068-117093,W,Arthur,Arthur Kaliyev,Kaliyev,9.755882711971507,34,5500,CGY@LA,LA,CGY,,,,,,W/UTIL
85068-79857,W,Brock,Brock Boeser,Boeser,10.170833587646484,24,5500,SEA@VAN,VAN,SEA,,,,,,W/UTIL
85068-79865,D,Matt,Matt Roy,Roy,9.2,35,5500,CGY@LA,LA,CGY,,,,,,D/UTIL
85068-79935,W,Alex,Alex Iafallo,Iafallo,9.97499974568685,12,5400,CGY@LA,LA,CGY,,,,,,W/UTIL
85068-23228,D,Justin,Justin Schultz,Schultz,9.52758578596444,29,5400,SEA@VAN,SEA,VAN,,,,,,D/UTIL
85068-148186,C,Shane,Shane Pinto,Pinto,8.928125381469727,32,5400,WSH@OTT,OTT,WSH,,,,,,C/UTIL
85068-66515,D,Vince,Vince Dunn,Dunn,9.506452006678428,31,5400,SEA@VAN,SEA,VAN,,,,,,D/UTIL
85068-80005,D,Neal,Neal Pionk,Pionk,9.590624809265137,32,5300,WPG@BOS,WPG,BOS,,,,,,D/UTIL
85068-74086,W,Dillon,Dillon Dube,Dube,8.596970066879734,33,5300,CGY@LA,CGY,LA,,,,,,W/UTIL
85068-104140,W,Ilya,Ilya Mikheyev,Mikheyev,10.035714285714286,28,5300,SEA@VAN,VAN,SEA,,,,,,W/UTIL
85068-42773,W,Oliver,Oliver Bjorkstrand,Bjorkstrand,9.312903619581654,31,5300,SEA@VAN,SEA,VAN,,,,,,W/UTIL
85068-11201,D,Jeff,Jeff Petry,Petry,9.528570992606026,28,5300,CAR@PIT,PIT,CAR,IR,Upper body,,,,D/UTIL
85068-66622,W,Conor,Conor Garland,Garland,8.11000010172526,30,5200,SEA@VAN,VAN,SEA,,,,,,W/UTIL
85068-43134,W,Anthony,Anthony Mantha,Mantha,9.017647238338695,34,5200,WSH@OTT,WSH,OTT,,,,,,W/UTIL
85068-14564,D,Adam,Adam Larsson,Larsson,9.174193351499495,31,5200,SEA@VAN,SEA,VAN,,,,,,D/UTIL
85068-21122,W,Jaden,Jaden Schwartz,Schwartz,9.096666463216145,30,5200,SEA@VAN,SEA,VAN,,,,,,W/UTIL
85068-23226,W,Tom,Tom Wilson,Wilson,10.991139085986946,79,5200,WSH@OTT,WSH,OTT,O,Knee,,,,W/UTIL
85068-59209,W,Frederick,Frederick Gaudreau,Gaudreau,8.840624809265137,32,5200,MIN@SJ,MIN,SJ,,,,,,W/UTIL
85068-15286,W,Stefan,Stefan Noesen,Noesen,8.851612706338205,31,5200,CAR@PIT,CAR,PIT,,,,,,W/UTIL
85068-15346,C,Adam,Adam Lowry,Lowry,9.265625,32,5200,WPG@BOS,WPG,BOS,,,,,,C/UTIL
85068-43178,W,Teuvo,Teuvo Teravainen,Teravainen,8.522727272727273,22,5100,CAR@PIT,CAR,PIT,,,,,,W/UTIL
85068-53606,C,Yanni,Yanni Gourde,Gourde,9.4,30,5100,SEA@VAN,SEA,VAN,,,,,,C/UTIL
85068-58891,W,Kevin,Kevin Labanc,Labanc,8.878787878787879,33,5100,MIN@SJ,SJ,MIN,,,,,,W/UTIL
